timestamp_brt,platform,user_id,user_name,topic,topic_confidence,question,response,episodes_asked,episodes_answered
2026-05-03 13:56:26,whatsapp,2575*****7769@lid,,armas_curta,0.56,,"Depende do uso. O que o podcast diz:

**Para tiro esportivo e precisão**
- A 1911 em .45 ACP leva vantagem pelo gatilho mais limpo e massa do calibre — recuo controlável e preciso
- Modelos 1911 ""supe...",,26
2026-05-03 20:11:01,whatsapp,2071*****5310@lid,,legal,1.0,"Romanos 1:16 NAA
[16] Pois não me envergonho do evangelho, porque é o poder de Deus para a salvação de todo aquele que crê, primeiro do judeu e também do grego. 

https://bible.com/bible/1840/rom.1.16.NAA","Segui no modo texto aqui, não consigo puxar os vídeos.

Manda um resumo ou manda uma foto se for o caso.",,
2026-05-03 20:11:25,whatsapp,2071*****5310@lid,,legal,0.81,"Romanos 1:16 NAA
[16] Pois não me envergonho do evangelho, porque é o poder de Deus para a salvação de todo aquele que crê, primeiro do judeu e também do grego. 

https://bible.com/bible/1840/rom.1.16.NAA","O player de vídeo tá morto aqui, Renato. Sigo no rádio. 📻

Meu chute: ou é o churrasco evoluindo ou a gambiarra foi a pique.
Fala o que é ou manda foto.",,
2026-05-03 21:12:25,whatsapp,1371*****4584@lid,,legal,1.0,"Romanos 1:16 NAA
[16] Pois não me envergonho do evangelho, porque é o poder de Deus para a salvação de todo aquele que crê, primeiro do judeu e também do grego. 

https://bible.com/bible/1840/rom.1.16.NAA","O link chegou, mas aqui o player tá no modo rádio 📻 e o Insta bloqueia visualização.

Manda o resumo! (Chute: o churrasco tá em alta ou o MotoBoy voltou?)",,
2026-05-03 21:23:42,whatsapp,5511*****8111@s.whatsapp.net,,legal,1.0,"Romanos 1:16 NAA
[16] Pois não me envergonho do evangelho, porque é o poder de Deus para a salvação de todo aquele que crê, primeiro do judeu e também do grego. 

https://bible.com/bible/1840/rom.1.16.NAA",Operation interrupted: waiting for model response (9.9s elapsed).,,
2026-05-03 21:24:01,whatsapp,5511*****8111@s.whatsapp.net,,legal,1.0,"Romanos 1:16 NAA
[16] Pois não me envergonho do evangelho, porque é o poder de Deus para a salvação de todo aquele que crê, primeiro do judeu e também do grego. 

https://bible.com/bible/1840/rom.1.16.NAA",Operation interrupted: waiting for model response (0.9s elapsed).,,
2026-05-03 21:25:25,whatsapp,5511*****8111@s.whatsapp.net,,legal,0.77,"Romanos 1:16 NAA
[16] Pois não me envergonho do evangelho, porque é o poder de Deus para a salvação de todo aquele que crê, primeiro do judeu e também do grego. 

https://bible.com/bible/1840/rom.1.16.NAA","Catálogo pesado. 👀

O **Audi Q3 blindado** por 99k é o destaque — blindagem completa ou só vidros? Se for pra uso dia a dia com segurança, o preço tá honesto pro mercado. A **Strada 2025** quasi zero ...",,
2026-05-03 21:27:19,whatsapp,5511*****8111@s.whatsapp.net,,legal,1.0,"Romanos 1:16 NAA
[16] Pois não me envergonho do evangelho, porque é o poder de Deus para a salvação de todo aquele que crê, primeiro do judeu e também do grego. 

https://bible.com/bible/1840/rom.1.16.NAA","Nissan Kicks é o ""coringa"" da família — confortável, cvt suave, bebe pouco. Esse SV 2019 por 78k tá na marca do mercado. Se for pra cidade e conforto, segura. Se quiser pegada, vai precisar baixar a b...",,
2026-05-03 22:17:37,whatsapp,1737*****5689@s.whatsapp.net,,armas_curta,0.62,Qual a melhor pistola 45 ACP?,"Boa ideia. Aqui vai a proposta:

**ESTRUTURA DE PASTAS**
```
shtcst-rpts/
├── 2026/
│   ├── 04/
│   │   ├── 2026-04-30/
│   │   │   ├── summary.md
│   │   │   ├── top-askers.md
│   │   │   ├── top-epi...",,
2026-05-03 22:23:12,whatsapp,2575*****7769@lid,,recarga,0.38,Qual a melhor pistola 45 ACP?,"**PROPOSTA PARA CLUSTERING DE TÓPICOS**

O problema atual: regex de primeira correspondência, buckets fixos, muita coisa vai pra ""unknown"", sem granularidade.

**Minha sugestão — 3 camadas, tudo Pytho...",,
